category,urgency,distance_km,is_remote,road_type,weather,traffic_level,time_of_day,order_weight_kg,past_delay_count,vehicle_capacity_load_pct,customer_priority_flag,priority_score,eta_minutes,delayed
agricultural_supplies,normal,17.45,0,paved,rain,5,evening,5.78,2,25,0,35.0,62.2,0
groceries,high,6.44,1,paved,clear,5,evening,0.31,1,41,0,45.9,24.2,0
groceries,normal,3.36,1,paved,fog,4,night,9.46,1,93,0,29.4,16.7,1
medicine,high,16.19,1,unpaved,fog,4,morning,0.8,2,38,0,85.0,107.1,1
groceries,normal,31.15,1,mixed,rain,4,morning,1.3,0,66,0,32.3,125.2,0
agricultural_supplies,emergency,30.65,1,paved,clear,5,night,0.71,1,42,0,76.6,88.6,0
medicine,normal,15.31,0,paved,rain,5,evening,0.6,2,78,0,54.8,50.5,0
clothing,low,9.37,0,paved,rain,5,morning,0.44,2,57,0,6.8,33.3,0
documents,low,6.68,1,paved,clear,1,evening,5.4,2,46,0,26.3,19.1,0
agricultural_supplies,high,4.39,1,unpaved,clear,4,evening,3.89,0,70,0,59.4,27.2,1
clothing,low,29.2,0,paved,storm,5,night,3.68,1,73,0,0.0,143.0,0
medicine,low,38.02,0,unpaved,clear,5,night,3.67,0,37,0,35.8,178.8,1
agricultural_supplies,low,14.84,0,unpaved,rain,3,evening,5.28,0,57,0,14.2,75.6,0
medicine,high,7.2,0,paved,clear,4,evening,5.26,2,72,0,65.9,20.6,0
clothing,low,2.63,1,mixed,clear,2,evening,4.64,0,41,0,6.0,13.8,0
electronics,low,7.83,0,paved,clear,3,morning,2.26,2,29,0,0.4,22.1,0
agricultural_supplies,emergency,7.27,0,paved,rain,5,afternoon,3.27,0,34,0,61.1,18.2,0
medicine,high,12.92,0,mixed,rain,2,afternoon,2.68,0,97,0,61.5,41.7,0
agricultural_supplies,normal,15.61,0,mixed,clear,2,morning,5.37,0,87,0,28.9,34.7,0
medicine,emergency,13.09,1,unpaved,clear,5,night,2.06,1,86,0,100.0,67.9,1
groceries,high,4.73,0,paved,clear,4,night,2.25,1,58,0,30.6,16.6,0
medicine,high,3.86,1,paved,clear,5,morning,3.43,1,90,0,75.2,16.3,0
medicine,normal,27.4,1,paved,clear,4,morning,2.12,3,95,1,68.0,74.4,1
documents,normal,9.66,1,unpaved,clear,1,afternoon,2.42,1,21,1,38.8,29.9,0
agricultural_supplies,high,33.95,0,unpaved,clear,2,afternoon,1.19,1,75,0,44.9,127.4,0
clothing,normal,17.33,0,paved,clear,2,evening,1.08,1,24,1,30.0,37.1,0
agricultural_supplies,high,12.2,0,mixed,rain,5,morning,1.64,0,25,0,43.3,54.3,0
groceries,low,5.05,1,paved,rain,2,afternoon,6.38,1,49,0,24.5,15.3,0
groceries,high,9.95,0,mixed,clear,1,morning,3.5,2,34,0,36.2,24.2,0
clothing,emergency,2.65,0,mixed,storm,2,morning,4.25,1,58,0,49.8,8.7,0
medicine,low,1.89,1,unpaved,clear,2,night,3.01,2,95,0,53.0,13.8,1
electronics,high,27.12,0,paved,clear,1,night,3.01,0,64,0,38.7,52.6,0
documents,normal,20.03,1,unpaved,clear,4,morning,2.33,0,68,1,37.7,84.3,0
medicine,high,3.65,1,paved,rain,2,night,6.97,1,76,0,83.5,13.0,0
documents,normal,13.99,0,paved,clear,1,afternoon,14.65,0,47,0,20.3,25.2,0
clothing,normal,5.48,0,mixed,clear,2,night,2.92,1,50,0,15.9,13.6,0
clothing,emergency,20.63,0,mixed,rain,5,afternoon,3.1,2,71,0,49.4,87.9,0
groceries,normal,9.51,1,mixed,fog,1,night,5.32,0,62,0,42.8,33.1,0
documents,normal,2.64,0,mixed,rain,5,morning,1.82,2,52,0,21.1,14.5,0
clothing,high,11.62,0,unpaved,clear,2,afternoon,2.72,1,59,0,35.7,39.7,0
electronics,normal,4.01,1,paved,fog,3,night,1.95,0,32,0,33.5,16.9,1
agricultural_supplies,emergency,10.14,0,paved,rain,2,morning,2.81,0,51,0,67.7,16.7,0
medicine,emergency,32.04,1,unpaved,clear,5,afternoon,0.8,2,94,0,96.5,155.1,1
clothing,emergency,7.09,0,paved,rain,4,evening,2.91,1,71,0,46.2,20.5,0
groceries,normal,7.09,1,paved,clear,1,morning,2.31,1,26,0,29.0,25.6,0
agricultural_supplies,normal,7.74,0,mixed,rain,4,morning,5.89,4,53,0,27.4,36.5,0
groceries,high,11.81,0,unpaved,rain,5,afternoon,9.75,2,93,0,40.8,67.2,1
electronics,high,61.2,0,paved,rain,2,evening,1.52,4,56,0,40.4,163.4,0
groceries,normal,8.04,0,paved,storm,1,night,8.54,1,92,1,22.2,26.8,0
groceries,normal,4.87,0,unpaved,fog,5,evening,3.54,1,26,0,21.1,33.6,1
clothing,low,4.33,1,unpaved,fog,2,afternoon,4.53,1,20,0,16.7,21.1,1
agricultural_supplies,emergency,7.95,0,unpaved,clear,3,afternoon,0.47,1,20,1,75.8,28.7,0
groceries,normal,8.35,1,paved,rain,3,night,5.37,1,82,0,38.9,24.0,0
electronics,high,7.9,0,paved,fog,5,evening,5.96,2,31,0,46.0,32.8,0
groceries,emergency,16.45,1,unpaved,rain,2,morning,2.23,0,69,0,62.5,76.3,1
clothing,high,5.71,1,mixed,clear,3,afternoon,1.58,0,40,0,53.0,19.7,0
groceries,emergency,37.99,1,mixed,rain,1,afternoon,2.27,2,94,0,64.8,123.8,0
groceries,emergency,14.31,0,paved,clear,2,afternoon,2.78,0,81,0,55.3,35.3,0
groceries,high,3.81,0,paved,fog,1,morning,1.54,1,26,0,35.1,12.4,0
agricultural_supplies,high,11.52,0,mixed,clear,5,night,0.36,3,57,0,53.9,34.8,0
groceries,normal,9.64,1,unpaved,rain,3,morning,4.5,0,38,1,46.5,54.7,0
medicine,emergency,23.93,1,mixed,clear,5,afternoon,1.72,1,24,0,95.9,93.9,0
clothing,normal,58.35,1,unpaved,clear,2,afternoon,1.87,0,76,0,28.4,210.8,0
groceries,normal,8.54,0,mixed,clear,5,morning,1.82,1,30,1,32.6,31.3,0
agricultural_supplies,normal,20.16,0,paved,clear,4,morning,5.4,2,71,0,36.0,55.8,0
agricultural_supplies,emergency,1.5,0,mixed,rain,1,evening,4.04,1,54,0,54.7,5.0,0
groceries,low,1.14,0,paved,fog,2,afternoon,5.72,2,38,1,12.8,5.0,0
groceries,emergency,27.36,0,paved,rain,2,night,1.35,2,35,0,46.6,71.4,0
medicine,normal,3.69,1,mixed,clear,2,afternoon,3.17,4,20,0,72.3,15.2,0
groceries,normal,14.01,0,mixed,clear,4,morning,1.46,0,30,1,26.9,41.5,0
agricultural_supplies,high,2.88,0,unpaved,clear,4,night,3.84,1,82,0,47.4,10.2,0
documents,high,1.79,1,unpaved,fog,2,afternoon,1.57,0,85,0,55.3,10.7,1
groceries,high,34.91,1,mixed,rain,5,night,3.18,0,33,0,49.0,167.3,0
documents,low,1.53,0,mixed,fog,4,evening,2.01,0,82,0,14.3,9.8,1
clothing,emergency,14.15,0,paved,clear,4,morning,10.92,2,40,1,49.1,37.5,0
groceries,low,4.36,1,unpaved,fog,1,evening,5.18,0,20,0,17.5,22.1,1
groceries,normal,19.8,0,paved,clear,2,afternoon,2.86,0,24,0,29.0,44.6,0
groceries,normal,17.96,0,paved,clear,2,morning,0.86,1,34,0,30.1,37.3,0
medicine,normal,1.31,0,paved,rain,5,morning,0.79,2,75,0,62.8,5.5,0
medicine,low,13.77,0,mixed,rain,5,afternoon,4.6,1,49,0,35.2,55.8,0
groceries,normal,28.19,0,mixed,rain,5,evening,4.12,2,99,0,16.8,124.0,0
medicine,high,14.14,1,unpaved,clear,2,morning,3.67,1,39,0,83.9,46.0,1
electronics,high,5.17,1,unpaved,clear,1,evening,0.85,2,34,0,49.0,29.9,0
electronics,low,6.53,0,paved,clear,3,morning,3.19,2,88,0,9.1,16.7,0
groceries,low,1.38,1,unpaved,clear,4,morning,9.29,1,23,0,29.0,6.8,1
medicine,normal,4.92,1,unpaved,clear,4,morning,4.93,4,55,0,68.4,25.3,1
electronics,low,1.8,0,unpaved,clear,1,morning,4.8,3,80,0,9.9,5.0,0
agricultural_supplies,normal,1.86,0,paved,fog,2,evening,2.67,2,53,0,41.2,9.4,0
groceries,high,18.05,0,paved,clear,1,morning,11.58,2,91,0,42.1,31.0,0
groceries,normal,31.52,1,paved,rain,4,night,8.7,3,92,0,31.4,100.9,1
medicine,high,1.56,0,unpaved,rain,3,night,1.48,1,66,0,73.1,15.7,0
clothing,low,10.86,0,mixed,fog,1,evening,2.8,3,94,0,13.3,39.0,1
documents,low,1.07,0,paved,rain,1,morning,4.75,1,90,0,10.5,5.0,0
medicine,high,22.77,0,mixed,clear,1,morning,2.78,0,88,0,71.4,63.1,0
groceries,normal,16.18,1,paved,clear,3,morning,3.81,0,88,0,30.8,41.3,0
medicine,low,6.92,1,unpaved,clear,2,night,1.52,1,88,0,53.1,27.0,1
groceries,low,7.76,0,unpaved,rain,3,night,0.81,0,46,0,11.5,32.0,0
medicine,low,19.86,1,unpaved,clear,1,afternoon,3.02,1,77,0,52.2,75.1,0
groceries,normal,3.88,1,mixed,clear,2,morning,1.86,1,67,0,46.6,9.5,0
clothing,low,6.1,0,paved,clear,3,morning,3.24,2,59,1,19.6,11.6,0
groceries,low,10.77,0,mixed,clear,5,morning,3.66,1,99,0,9.2,43.9,0
medicine,normal,5.47,1,mixed,rain,2,afternoon,3.26,2,69,1,64.8,19.8,0
agricultural_supplies,low,29.71,0,mixed,rain,2,night,2.06,1,28,1,13.8,102.6,0
electronics,high,3.88,0,mixed,clear,4,afternoon,3.72,2,65,0,25.7,14.5,0
electronics,low,3.23,0,paved,rain,1,morning,6.34,0,70,0,7.7,6.7,0
agricultural_supplies,normal,5.15,0,unpaved,fog,2,evening,1.61,1,35,0,30.9,19.1,1
groceries,normal,32.28,1,paved,fog,1,morning,8.49,0,49,1,46.8,87.9,0
agricultural_supplies,low,5.46,1,unpaved,rain,3,morning,1.95,3,51,0,34.4,34.1,1
groceries,high,21.55,1,mixed,rain,5,evening,4.88,0,40,0,43.3,97.7,0
agricultural_supplies,normal,12.98,0,paved,clear,2,afternoon,4.08,1,57,0,27.2,24.2,0
agricultural_supplies,normal,10.51,0,mixed,clear,5,night,8.03,0,57,1,44.9,37.6,0
electronics,normal,1.4,1,paved,rain,5,night,3.58,1,34,0,35.2,10.3,0
agricultural_supplies,low,10.43,1,unpaved,rain,2,evening,9.82,1,38,1,34.2,54.8,0
medicine,high,11.89,0,paved,fog,3,night,6.97,0,21,0,69.2,35.8,0
groceries,low,18.86,1,unpaved,clear,3,evening,2.88,0,84,0,14.7,78.7,1
electronics,low,13.76,1,mixed,clear,3,afternoon,2.94,1,71,0,24.8,48.9,0
groceries,normal,7.37,1,mixed,fog,5,evening,1.26,0,32,0,29.1,39.6,1
documents,normal,16.1,1,paved,clear,5,morning,2.08,0,25,0,48.7,53.0,0
groceries,low,7.04,0,paved,rain,3,morning,3.6,1,75,0,12.4,28.9,0
agricultural_supplies,emergency,5.91,0,paved,clear,3,evening,0.45,0,63,0,61.8,11.6,0
electronics,low,5.39,0,paved,clear,3,evening,7.96,0,46,0,5.8,10.6,0
agricultural_supplies,normal,7.68,1,mixed,storm,4,night,1.04,1,31,0,44.6,54.9,1
groceries,normal,13.48,0,paved,rain,1,morning,1.83,0,36,0,19.2,24.7,0
groceries,normal,5.55,1,unpaved,storm,4,evening,4.2,1,28,0,38.9,43.2,1
documents,low,17.1,1,mixed,clear,1,evening,9.63,1,93,0,19.6,43.5,0
agricultural_supplies,high,16.26,0,paved,rain,2,afternoon,4.68,2,99,0,53.4,50.8,0
clothing,high,4.21,0,unpaved,clear,5,evening,7.22,0,21,0,38.1,26.2,0
clothing,normal,14.44,1,paved,clear,3,evening,1.33,0,90,0,23.0,34.4,0
groceries,low,20.92,1,mixed,clear,2,night,2.15,3,34,0,12.2,61.3,0
groceries,normal,6.28,0,paved,rain,5,night,4.34,1,37,1,33.0,24.3,0
medicine,high,34.85,0,paved,rain,2,afternoon,3.09,3,90,0,71.0,87.4,0
medicine,emergency,13.9,0,paved,clear,1,afternoon,3.27,1,45,0,84.6,30.0,0
documents,low,22.72,1,mixed,rain,5,night,4.8,0,76,0,22.1,106.2,0
groceries,normal,9.12,0,unpaved,clear,2,afternoon,0.65,1,27,1,37.4,25.4,0
agricultural_supplies,normal,27.86,0,paved,rain,3,night,4.63,0,27,1,38.6,76.8,0
electronics,normal,23.25,0,paved,clear,5,evening,7.58,1,44,1,22.4,65.0,0
groceries,normal,4.31,0,mixed,clear,2,evening,3.86,1,68,1,29.8,8.9,0
clothing,low,1.69,0,mixed,clear,3,night,5.63,1,38,0,1.8,5.0,0
documents,emergency,44.7,0,mixed,fog,2,morning,3.4,2,38,0,56.1,169.9,0
groceries,normal,6.64,1,mixed,clear,1,afternoon,1.58,0,20,0,34.7,24.0,0
medicine,high,16.64,1,paved,clear,4,morning,5.63,0,93,0,85.9,40.5,0
groceries,low,8.3,1,mixed,clear,3,evening,7.7,1,95,0,20.5,30.1,0
medicine,low,18.47,0,paved,fog,1,night,4.64,0,63,0,44.6,54.3,0
clothing,normal,2.44,1,paved,rain,5,evening,2.93,0,54,0,33.9,13.9,0
electronics,high,2.4,0,paved,clear,1,morning,2.42,2,91,0,33.4,5.1,0
electronics,low,34.0,1,unpaved,clear,2,evening,6.71,2,67,0,10.1,126.1,0
electronics,high,42.39,0,mixed,clear,1,night,1.08,1,67,0,34.0,107.8,0
electronics,normal,1.9,1,mixed,fog,1,evening,0.79,2,47,1,29.5,9.5,0
agricultural_supplies,low,11.22,1,paved,rain,1,morning,7.59,1,78,0,25.2,36.2,0
medicine,high,7.75,0,unpaved,clear,1,evening,2.0,1,49,0,67.2,22.9,1
groceries,low,8.5,1,paved,clear,4,morning,4.12,2,97,0,18.5,29.7,0
medicine,normal,2.75,0,paved,rain,5,evening,1.9,1,61,0,60.6,8.8,0
electronics,high,18.3,0,paved,fog,4,morning,1.64,3,36,0,39.5,61.0,1
clothing,normal,10.09,1,paved,clear,3,afternoon,3.3,0,70,0,24.7,24.4,0
agricultural_supplies,high,32.82,1,paved,rain,1,night,4.13,0,33,1,61.3,88.1,0
medicine,low,11.9,0,mixed,clear,3,afternoon,3.93,1,35,0,38.7,35.4,0
groceries,emergency,23.18,0,paved,fog,5,night,3.49,0,47,0,49.5,81.7,0
clothing,emergency,7.04,1,mixed,rain,3,night,2.02,0,51,0,60.9,34.8,0
medicine,low,21.73,1,mixed,clear,1,morning,1.19,0,53,0,51.7,52.5,0
groceries,normal,26.93,1,unpaved,rain,2,evening,1.74,1,57,0,44.2,123.9,0
documents,normal,4.96,0,paved,clear,5,afternoon,3.99,0,97,0,29.9,16.9,0
agricultural_supplies,high,18.16,0,paved,clear,2,evening,10.46,1,44,0,48.9,37.0,0
agricultural_supplies,low,11.42,1,unpaved,rain,4,morning,4.13,0,30,0,28.8,69.4,1
groceries,emergency,16.94,0,unpaved,clear,1,evening,1.25,1,35,1,66.6,52.5,0
documents,normal,13.66,1,paved,fog,2,evening,4.43,0,52,0,35.3,43.5,0
clothing,normal,4.83,0,mixed,clear,4,night,0.82,3,80,0,19.5,15.0,0
agricultural_supplies,normal,5.02,1,unpaved,clear,1,morning,2.31,0,86,0,43.4,21.4,1
groceries,high,1.91,0,paved,clear,2,morning,2.84,4,57,0,41.7,5.0,0
electronics,emergency,8.01,1,unpaved,clear,3,evening,2.25,0,49,0,76.7,36.0,0
agricultural_supplies,high,4.37,0,unpaved,clear,3,afternoon,1.2,0,44,0,48.4,23.1,1
clothing,normal,5.81,0,paved,clear,5,afternoon,1.47,0,79,0,21.1,22.4,0
agricultural_supplies,emergency,5.71,1,paved,clear,4,evening,5.0,2,37,0,72.0,21.6,0
documents,low,3.48,0,unpaved,clear,1,afternoon,5.09,2,70,0,12.3,5.0,0
groceries,high,3.04,0,unpaved,clear,2,evening,1.21,1,43,0,40.5,7.1,0
groceries,low,52.19,0,paved,clear,5,evening,8.29,1,56,0,2.3,143.7,0
groceries,low,18.07,0,paved,clear,4,evening,8.06,1,99,0,3.1,42.9,0
medicine,normal,25.75,0,paved,rain,1,evening,4.76,2,36,1,67.8,63.5,0
medicine,normal,2.7,0,mixed,fog,3,morning,5.95,0,71,0,46.4,10.9,0
groceries,high,19.88,0,mixed,storm,3,evening,3.29,0,95,0,34.4,111.6,1
electronics,normal,27.31,1,mixed,rain,4,afternoon,7.08,0,74,1,38.4,117.8,0
medicine,normal,12.89,1,unpaved,clear,3,morning,4.04,2,40,0,69.9,56.9,1
documents,emergency,34.58,0,paved,clear,4,evening,2.5,1,29,1,63.9,92.9,0
agricultural_supplies,emergency,5.24,1,paved,clear,3,afternoon,4.92,1,70,0,76.8,16.9,0
agricultural_supplies,high,15.4,1,unpaved,clear,3,night,1.66,0,60,0,54.2,73.5,0
medicine,high,19.05,0,unpaved,clear,2,morning,5.52,0,68,0,73.9,68.5,0
medicine,normal,7.83,0,mixed,rain,2,evening,1.72,1,30,0,51.3,27.7,0
medicine,normal,20.9,1,unpaved,rain,1,night,2.29,2,20,0,69.5,90.6,1
documents,normal,8.34,0,paved,clear,3,night,2.74,1,90,0,21.4,16.9,0
electronics,normal,1.27,0,mixed,rain,4,afternoon,3.16,5,57,1,25.0,6.6,0
clothing,normal,1.44,1,unpaved,clear,2,night,5.57,0,22,0,29.8,11.1,0
electronics,normal,32.36,0,unpaved,clear,4,morning,1.85,1,59,0,20.4,138.5,1
electronics,high,12.31,0,paved,rain,1,morning,4.3,3,80,0,36.4,28.6,0
groceries,normal,5.96,0,paved,rain,1,afternoon,2.72,2,82,0,16.8,7.4,0
documents,high,62.91,0,paved,clear,1,afternoon,3.96,1,39,0,40.9,117.9,0
medicine,emergency,5.99,0,mixed,clear,1,evening,2.61,2,83,0,90.1,12.9,0
clothing,emergency,30.14,1,paved,clear,5,afternoon,1.04,1,45,1,63.6,92.9,0
agricultural_supplies,normal,1.18,0,paved,rain,1,afternoon,2.52,2,94,0,34.9,5.0,0
agricultural_supplies,emergency,26.15,0,paved,clear,5,evening,6.96,2,82,0,60.7,76.3,0
groceries,normal,5.89,1,unpaved,clear,2,night,11.59,0,86,0,34.4,27.7,1
agricultural_supplies,normal,7.27,0,paved,rain,1,night,2.75,2,31,0,33.6,15.5,0
groceries,high,26.83,1,paved,clear,1,morning,2.85,0,36,0,46.9,60.9,0
medicine,high,11.78,1,mixed,rain,4,afternoon,2.82,0,76,0,75.2,57.2,0
agricultural_supplies,high,12.97,0,unpaved,clear,3,afternoon,2.28,0,31,0,50.8,50.2,1
electronics,high,2.82,0,paved,clear,1,morning,3.68,0,98,0,34.1,8.8,0
groceries,normal,7.31,1,unpaved,clear,2,evening,5.22,1,32,0,39.8,25.5,1
electronics,normal,15.35,0,mixed,rain,4,evening,4.57,1,93,0,23.5,62.0,0
agricultural_supplies,low,12.82,0,mixed,clear,2,night,6.61,0,20,0,16.7,38.3,0
groceries,low,14.51,1,mixed,clear,4,evening,4.74,0,26,0,23.9,53.0,0
electronics,emergency,9.46,0,paved,clear,3,afternoon,2.03,1,65,0,50.4,20.2,0
documents,normal,6.58,1,paved,rain,1,afternoon,3.56,0,48,0,32.1,19.0,0
agricultural_supplies,normal,3.5,0,paved,clear,5,afternoon,1.41,1,83,1,40.1,6.6,0
electronics,normal,7.95,1,unpaved,rain,1,morning,3.49,0,71,0,29.0,37.5,1
electronics,high,8.95,0,paved,fog,4,afternoon,7.69,3,91,0,40.2,33.6,1
electronics,low,32.26,0,paved,rain,3,evening,2.19,1,88,0,10.1,94.4,0
groceries,high,14.38,1,paved,clear,3,evening,4.81,1,47,0,40.7,40.3,0
agricultural_supplies,high,3.85,0,paved,storm,1,morning,3.12,0,96,0,51.7,16.4,0
agricultural_supplies,normal,27.13,1,unpaved,clear,5,afternoon,5.45,0,78,0,44.6,133.6,1
agricultural_supplies,low,8.58,1,unpaved,rain,1,night,2.22,0,29,0,31.9,40.4,0
groceries,low,7.53,0,paved,clear,3,evening,4.9,2,44,0,14.8,13.4,0
groceries,high,7.9,0,mixed,fog,1,afternoon,1.51,0,35,0,37.6,32.5,0
documents,normal,1.86,0,paved,rain,2,afternoon,4.54,0,98,0,11.8,5.0,0
agricultural_supplies,low,14.3,0,paved,rain,5,evening,6.66,2,99,0,33.3,52.4,0
groceries,emergency,13.67,1,mixed,rain,4,night,0.84,1,83,1,70.6,70.6,0
groceries,normal,1.47,0,paved,clear,5,evening,4.36,3,60,0,28.6,8.6,0
clothing,high,4.46,1,mixed,rain,2,night,9.78,2,40,0,55.0,32.4,0
agricultural_supplies,low,5.56,1,unpaved,clear,3,night,0.88,2,93,0,29.1,27.0,0
agricultural_supplies,normal,2.04,0,paved,clear,3,afternoon,0.82,0,89,0,33.1,12.3,0
groceries,high,4.82,1,paved,rain,4,night,1.19,0,88,0,43.4,21.1,0
agricultural_supplies,normal,8.66,1,unpaved,clear,3,evening,4.54,1,20,0,37.9,38.2,1
clothing,normal,1.64,1,paved,clear,3,evening,2.5,0,88,0,21.4,10.0,0
medicine,normal,2.82,1,mixed,clear,4,night,1.09,0,37,0,61.7,20.8,0
groceries,normal,2.52,0,paved,rain,3,afternoon,11.35,0,45,0,29.5,6.4,0
groceries,normal,14.29,0,paved,clear,1,evening,6.96,0,47,0,23.9,20.0,0
medicine,normal,8.59,0,mixed,clear,5,afternoon,2.56,1,77,0,51.5,28.2,0
clothing,normal,24.42,0,paved,fog,2,night,8.4,1,33,0,12.6,67.5,1
clothing,emergency,15.86,1,mixed,clear,1,evening,1.01,1,36,0,66.4,41.3,0
groceries,normal,8.16,0,paved,clear,5,evening,4.33,0,55,0,16.4,24.6,0
documents,low,4.8,1,unpaved,clear,1,morning,3.81,0,99,0,13.0,14.7,1
electronics,emergency,1.92,0,paved,clear,1,evening,3.89,1,50,0,43.9,5.1,0
documents,low,10.49,0,mixed,clear,1,morning,6.14,0,55,0,8.9,27.9,0
groceries,emergency,8.5,1,paved,fog,5,night,5.57,0,61,1,72.0,35.7,1
agricultural_supplies,emergency,15.96,0,paved,rain,1,evening,0.86,3,28,0,63.4,38.3,0
clothing,high,34.08,0,paved,clear,3,night,2.39,2,43,0,40.6,86.4,0
groceries,emergency,34.01,1,mixed,clear,2,afternoon,6.11,2,41,0,68.3,102.1,0
medicine,emergency,6.15,1,paved,rain,1,morning,0.35,1,35,0,98.2,12.7,0
groceries,high,1.36,0,paved,clear,1,night,1.05,1,31,1,43.2,5.0,0
documents,normal,15.42,0,mixed,clear,1,night,1.65,1,78,0,26.7,35.2,0
medicine,high,2.78,1,mixed,clear,4,evening,4.0,2,20,0,91.7,13.7,0
groceries,low,12.75,1,unpaved,clear,1,morning,4.77,0,52,0,21.8,47.3,1
groceries,normal,8.54,1,paved,rain,5,night,0.43,2,52,0,27.9,36.6,0
groceries,normal,24.19,0,paved,clear,1,afternoon,2.5,1,55,0,26.5,45.0,0
agricultural_supplies,normal,8.07,0,paved,clear,4,night,5.29,0,96,0,34.3,17.7,0
agricultural_supplies,low,15.47,0,mixed,clear,4,afternoon,1.36,1,93,0,29.4,62.1,0
medicine,high,4.16,0,paved,fog,4,night,2.0,3,84,0,76.6,16.4,1
medicine,normal,2.03,1,unpaved,fog,1,night,0.97,4,82,1,75.4,21.3,1
groceries,high,12.63,0,paved,clear,5,morning,6.43,0,86,1,45.1,38.4,0
agricultural_supplies,normal,8.82,0,paved,rain,1,evening,2.68,0,66,0,41.8,21.6,0
medicine,high,15.85,0,paved,clear,4,night,4.64,2,65,0,68.7,39.1,0
clothing,normal,35.69,1,mixed,clear,2,afternoon,8.35,2,36,1,34.3,97.6,0
agricultural_supplies,low,4.73,0,paved,clear,3,afternoon,6.87,1,53,1,25.3,10.9,0
medicine,normal,4.49,1,unpaved,rain,5,afternoon,3.34,0,29,0,66.8,35.7,1
clothing,high,2.46,0,paved,rain,3,afternoon,8.36,0,67,0,33.1,9.7,0
clothing,high,10.65,0,unpaved,clear,1,morning,2.43,3,55,1,45.8,39.7,0
groceries,high,5.93,1,unpaved,clear,4,morning,3.25,1,63,0,43.0,32.6,1
groceries,normal,28.32,0,paved,fog,1,afternoon,0.93,0,84,0,27.1,76.6,0
groceries,normal,50.01,0,paved,clear,3,afternoon,0.2,2,29,0,22.0,116.0,0
groceries,high,9.98,0,mixed,clear,2,afternoon,6.52,0,25,1,43.3,37.0,0
medicine,normal,12.44,0,unpaved,clear,2,evening,10.25,1,40,0,62.3,44.0,0
medicine,low,7.8,0,paved,clear,3,night,8.11,0,44,1,44.1,22.8,0
groceries,high,11.26,0,paved,clear,3,afternoon,0.23,1,64,0,38.5,26.9,0
clothing,high,12.36,0,mixed,clear,1,morning,10.59,1,55,0,27.6,28.6,0
medicine,low,5.15,0,paved,clear,3,night,6.4,1,49,1,58.7,14.6,0
clothing,low,69.8,0,paved,clear,1,evening,1.58,1,27,0,13.8,135.3,0
clothing,low,12.44,1,unpaved,clear,4,morning,7.29,1,31,1,24.1,56.5,0
electronics,high,6.07,1,mixed,rain,2,afternoon,4.2,0,55,0,47.9,19.5,0
medicine,high,5.26,0,paved,rain,3,morning,5.51,2,43,0,70.0,25.4,0
electronics,normal,4.49,0,paved,clear,1,night,2.95,1,23,0,24.2,7.2,0
groceries,low,13.65,0,paved,fog,4,afternoon,7.85,2,48,0,0.7,36.1,0
medicine,low,6.04,0,paved,clear,5,morning,2.22,1,47,1,56.0,22.2,0
electronics,low,1.69,1,paved,clear,2,night,2.25,1,25,0,15.8,13.6,0
agricultural_supplies,high,32.6,0,paved,clear,5,morning,3.35,1,31,0,48.0,93.8,0
clothing,high,14.98,0,paved,clear,2,afternoon,2.35,1,59,0,30.5,29.0,0
electronics,high,11.23,0,paved,clear,1,night,6.09,1,89,0,27.9,24.7,0
groceries,high,3.35,0,paved,storm,1,morning,4.44,2,33,0,48.9,11.7,0
agricultural_supplies,emergency,2.35,1,unpaved,storm,3,night,2.23,0,85,0,72.9,19.3,1
agricultural_supplies,normal,14.44,0,paved,clear,1,morning,4.49,1,77,0,38.5,32.7,0
medicine,normal,4.41,1,paved,clear,4,night,5.27,1,53,0,67.7,11.4,0
agricultural_supplies,low,4.6,1,paved,rain,2,afternoon,2.03,0,20,0,33.6,15.6,0
groceries,low,2.55,0,paved,rain,3,afternoon,3.09,3,78,0,7.1,10.9,0
groceries,low,2.87,1,mixed,clear,5,morning,10.78,4,46,1,25.2,5.4,0
groceries,high,13.44,0,paved,clear,5,morning,2.55,0,27,0,27.9,34.1,0
clothing,normal,8.61,0,mixed,clear,1,night,5.64,2,29,0,14.1,17.6,0
clothing,normal,2.93,0,mixed,clear,5,night,2.69,2,30,1,26.8,10.6,0
electronics,normal,11.54,0,paved,clear,2,night,11.75,0,61,0,24.7,19.5,0
groceries,high,10.28,0,paved,clear,5,morning,9.75,1,31,1,49.3,27.8,0
groceries,low,14.82,0,mixed,rain,2,evening,3.85,0,65,0,9.4,54.0,0
groceries,emergency,65.03,0,mixed,clear,4,afternoon,3.85,1,93,0,52.7,216.1,0
documents,high,24.59,0,paved,clear,5,morning,5.56,2,89,0,41.8,69.5,0
clothing,high,40.22,1,paved,rain,5,night,3.25,1,47,0,44.6,149.0,0
groceries,high,1.17,0,paved,rain,3,morning,8.58,1,54,1,51.1,10.4,0
groceries,normal,16.92,1,unpaved,rain,2,afternoon,3.77,1,63,0,25.7,84.4,1
clothing,high,47.49,1,mixed,clear,2,afternoon,6.11,1,52,1,55.8,144.9,0
groceries,normal,6.85,0,paved,clear,2,night,2.0,2,81,0,32.3,13.6,0
electronics,low,37.1,1,paved,clear,2,morning,1.83,2,45,0,12.9,84.7,0
documents,normal,6.17,0,paved,clear,1,evening,5.96,1,71,0,31.2,11.7,0
